SiteID,Institute,Station name,County
OSD1,"Western Observatory Channel, Plymouth Marine Laboratory",Plymouth United Kingdom,GBR
OSD2,Station Biologique de Roscoff,Roscoff Astan France,FRA
OSD4,Stazione Zoologica Anton Dohrn,LTER MC Naples Italy,ITA
OSD5,Hellenic Centre for Marine Research,Crete Greece,GRC
OSD11,BAS,Rothera,ATA
OSD13,"Institute of Oceanology, Bulgarian Academy of Sciences",Varna Bay Bulgaria,BLG
OSD14,Oceanology Observatory of Banyuls,Banyuls sur Mer France,FRA
OSD17,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD22,"Mediterranean Institute of Oceanography, OSU Pytheas/Centre Nationale Recherche Scientific",Marseille Somlit France,FRA
OSD24,Faculty of Sciences of Oujda,Marchica Morocco,MAR
OSD26,Faculty of Sciences of Oujda,Tangier Morocco,MAR
OSD30,"Tv채rminne Zoological Station, University of Helsinki",Tv채rminne Finland,FIN
OSD39,"National Ocean Service, Center for Coastal Environmental Health and Biomolecular Research, Charleston, SC",Charleston Harbor USA,USA
OSD43,Scripps Institute of Oceanography,California Scripps USA,USA
OSD47,Department of Biology. University of Padova,Venice Lagoon Italy,ITA
OSD48,Department of Biology. University of Padova,Venice Gulf Italy,ITA
OSD49,"Marine Biology Station, Piran",Piran Slovenia,SVN
OSD54,Bigelow Laboratory for Ocean Sciences,Maine Booth Bay USA,USA
OSD55,Bigelow Laboratory for Ocean Sciences,Maine Damariscotta River USA,USA
OSD60,Center for Coastal Environmental Health and Biomolecular Research. National Oceanic and Atmospheric Administration,South Carolina North Inlet USA,USA
OSD63,Institute of Marine Science. National Research Council,Venice Acqua Alta Italy,ITA
OSD69,Department of Biology. University of Padova,Venice Marghera Italy,ITA
OSD70,Department of Biology. University of Padova,Venice Lido Italy,ITA
OSD74,Interdisciplinary Center of Environmental and Marine Research,Douro Portugal,PRT
OSD76,University of Urbino. Dep. of Biomolecular Sciences. Section of Environmental Biology,Foglia Italy,ITA
OSD77,University of Urbino. Dep. of Biomolecular Sciences. Section of Environmental Biology,Metauro Italy,ITA
OSD78,CoNISMa,Conisma Italy,ITA
OSD81,Centre of Marine Sciences,Faro Ria Formosa Portugal,PRT
OSD87,CEFAS,RV CEFAS Endeavour,GBR
OSD88,Centre national de la recherche scientifique,La Rochelle France,FRA
OSD91,Faculty of Sciences of Oujda,El Oualidia Morroco,MAR
OSD92,Institut Pasteur du Maroc,Casablanca Morroco,MAR
OSD93,Faculty of Sciences of Oujda,El Jadida Morroco,MAR
OSD99,Faculty of Sciences of Oujda,Miramare Italy,ITA
OSD100,Hellenic Centre for Marine Research,Crete Greece,GRC
OSD119,,Progreso,MEX
OSD120,cinvestav,Dzilam,MEX
OSD121,cinvestav,Celestun,MEX
OSD122,The Interuniversity Institute for Marine Sciences in Eilat (IUI),Aqaba Israel,ISR
OSD135,Centro de Investigaci처n en Alimentaci처n y Desarrollo A.C.,Guaymas Bay,MEX
OSD136,DTU Bioengineering,Jyllinge Habour,DEN
OSD137,DTU Bioengineering,Helsinore Habour,DEN
OSD132,Bar-Ilan University,Sdot Yam Israel,ISR
OSD141,Department of Biology. University of Bergen,Raunefjorden Norway,NOR
OSD152,Dalhousie University,Bedford Basin Canada,CAN
OSD153,Centre of Marine Sciences,Faro Island Portugal,PRT
OSD159,Centre national de la recherche scientifique,Brest Somlit France,FRA
OSD170,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD171,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD172,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD174,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD175,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD176,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD177,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD178,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD179,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD180,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD182,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD183,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD184,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD185,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL
OSD205,Centre for Bioinformatics and Systems Biology. Faculty of Science. University of Khartoum,Abu Hashish Sudan,SDN
OSD210,Leibniz Institute for Baltic Sea Research,Gruissan France,FRA
OSD211,Leibniz Institute for Baltic Sea Research,La Palme France,FRA
OSD212,Technical University of Denmark,Hellerup Denmark,DEN
OSD213,Ruder Boskovic Institute. Center for Marine Research,Rovinj Croatia,HRV
OSD214,Faculty of Sciences of Oujda,Marchica Morocco,MAR
OSD216,Institute of Marine Science. National Research Council,Senigallia Italy,ITA
OSD217,Dalhousie University,Duncans Cove Canada,CAN
OSD218,Dalhousie University,Sable Island Canada,CAN
OSD219,Ryan Institute and School of Natural Sciences,Spiddal Galway Ireland,IRL
OSD220,University of Vigo,Vigo Spain,ESP
OSD223,University of Gdansk,Gdansk Poland,POL
OSD224,Royal Netherlands Institute for Sea Research,NIOZ-Jetty Netherlands,NLD
OSD225,Faculty of Oceanography. Univsersity of Calabar,Macorn-Unical Nigeria,NGA
OSD227,Station Biologique de Roscoff,GO SBR Crenula France,FRA
OSD228,Hellenic Centre for Marine Research,Crete Greece,GRC
OSD229,Hellenic Centre for Marine Research,Crete Greece,GRC
OSD231,Institute for Coastal Marine Environments. National Research Council,Messina Italy,ITA
OSD232,Stazione Zoologica Anton Dohrn,Portici Italy,ITA
OSD233,Institute for Coastal Marine Environments. National Research Council,Messina Italy,ITA
OSD234,Centre for Bioinformatics and Systems Biology. Faculty of Science. University of Khartoum,Green Area_Sudan,SDN
OSD237,Plentzia Marine Station,Getxo Marina Spain,ESP
OSD238,Plentzia Marine Station,Plentzia Bay Spain,ESP
